Name,Salary
Aaron Judge,"$40,000,000"
Gerrit Cole,"$36,000,000"
Giancarlo Stanton,"$32,000,000"
Juan Soto,"$31,000,000"
Carlos Rodon,"$27,000,000"
Marcus Stroman,"$19,000,000"
Anthony Rizzo,"$17,000,000"
Gleyber Torres,"$14,200,000"
Alex Verdugo,"$9,200,000"
Clay Holmes,"$6,050,000"
Tommy Kahnle,"$5,750,000"
Trent Grisham,"$5,500,000"
Jon Berti,"$3,625,000"
Jose Trevino,"$2,730,000"
Luke Weaver,"$2,250,000"
Clarke Schmidt,"$2,025,000"
Luis Gil,"$1,848,628"
Austin Wells,"$1,551,564"
Anthony Volpe,"$1,228,964"
Ian Hamilton,"$923,050"
Jazz Chisholm,"$903,232"
Oswaldo Cabrera,"$783,000"
Mark Leiter Jr.,"$500,000"
Tim Hill,"$401,778"
Jasson Domínguez,"$392,980"
Ben Rice,"$302,328"
Tim Mayza,"$175,032"
Clayton Beeter,"$43,758"
D.J. LeMahieu,"$15,000,000"
Nestor Cortes,"$3,950,000"
Jonathan Loaisiga,"$2,500,000"
JT Brubaker,"$2,275,000"
Lou Trivino,"$1,500,000"
Jake Cousins,"$405,756"
Corbin Burnes,"$15,637,000"
Anthony Santander,"$11,700,000"
Cedric Mullins,"$6,325,000"
Ryan Mountcastle,"$4,137,500"
James McCann,"$4,000,000"
Zach Eflin,"$3,844,100"
Ryan O'Hearn,"$3,500,000"
Gunnar Henderson,"$2,763,378"
Danny Coulombe,"$2,300,000"
Ramon Urias,"$2,100,000"
Colton Cowser,"$1,721,471"
Gregory Soto,"$1,666,667"
Seranthony Dominguez,"$1,508,065"
Cionel Perez,"$1,200,000"
Jordan Westburg,"$1,066,813"
Adley Rutschman,"$1,048,610"
Jacob Webb,"$1,000,000"
Dean Kremer,"$756,600"
Yennier Cano,"$752,300"
Albert Suarez,"$656,370"
Heston Kjerstad,"$473,382"
Cade Povich,"$314,262"
Jackson Holliday,"$310,284"
Austin Slater,"$246,667"
Keegan Akin,"$235,055"
Emmanuel Rivera,"$155,142"
Matt Bowman,"$151,164"
Colin Selby,"$19,890"
John Means,"$3,325,000"
Jorge Mateo,"$2,700,000"
Tyler Wells,"$1,962,500"
Félix Bautista,"$1,000,000"
Grayson Rodriguez,"$991,398"
Kyle Bradish,"$754,500"
Burch Smith,"$318,240"
Trevor Story,"$22,500,000"
Masataka Yoshida,"$18,000,000"
Chris Martin,"$7,500,000"
Nick Pivetta,"$7,500,000"
Tyler O'Neill,"$5,850,000"
Ceddanne Rafaela,"$3,000,000"
Jarren Duran,"$2,081,661"
Brayan Bello,"$2,000,000"
Danny Jansen,"$1,817,204"
Luis Garcia,"$1,370,940"
Tanner Houck,"$1,304,267"
Wilyer Abreu,"$1,118,245"
Kutter Crawford,"$997,986"
Lucas Sims,"$919,380"
Connor Wong,"$760,000"
Triston Casas,"$760,000"
Justin Slaten,"$740,000"
Romy Gonzalez,"$688,194"
Greg Weissert,"$643,517"
Josh Winckowski,"$623,009"
Vaughn Grissom,"$570,427"
Enmanuel Valdez,"$447,664"
Nick Sogard,"$194,922"
Mickey Gasper,"$135,252"
Luis Guerrero,"$91,494"
Richard Fitts,"$83,538"
Chase Shugart,"$71,604"
Quinn Priester,"$3,978"
Rafael Devers,"$25,000,000"
Lucas Giolito,"$18,000,000"
Kenley Jansen,"$16,000,000"
Garrett Whitlock,"$3,250,000"
James Paxton,"$2,483,871"
Liam Hendriks,"$2,000,000"
Rob Refsnyder,"$1,850,000"
Chris Murphy,"$743,500"
Bryan Mata,"$740,000"
David Hamilton,"$700,128"
Brennan Bernardino,"$680,238"
Isaiah Campbell,"$385,056"
Brandon Lowe,"$8,750,000"
Yandy Diaz,"$8,000,000"
Colin Poche,"$2,375,000"
Tyler Alexander,"$1,950,000"
Drew Rasmussen,"$1,862,500"
Zack Littell,"$1,850,000"
Ryan Pepiot,"$980,929"
Jason Adam,"$914,508"
Jose Siri,"$757,800"
Taylor Walls,"$757,300"
Josh Lowe,"$755,700"
Ben Rortvedt,"$755,400"
José Caballero,"$751,700"
Garrett Cleavinger,"$746,900"
Richard Palacios,"$745,200"
Taj Bradley,"$743,300"
Jonny DeLuca,"$742,400"
Dylan Carlson,"$684,946"
Kevin Kelly,"$672,282"
Shane Baz,"$571,714"
Richard Lovelady,"$525,096"
Manuel Rodriguez,"$421,668"
Edwin Uceta,"$405,756"
Jonathan Aranda,"$391,412"
Christopher Morel,"$259,812"
Junior Caminero,"$186,966"
Hunter Bigge,"$159,120"
Logan Driscoll,"$115,024"
Mason Montgomery,"$95,472"
Jeffrey Springs,"$5,250,000"
Pete Fairbanks,"$3,666,667"
Shane McClanahan,"$3,600,000"
Jacob Waguespack,"$662,595"
Kevin Gausman,"$24,000,000"
George Springer,"$22,500,000"
Chris Bassitt,"$21,000,000"
Vladimir Guerrero Jr.,"$19,900,000"
José Berríos,"$17,000,000"
Chad Green,"$10,500,000"
Alejandro Kirk,"$2,800,000"
Erik Swanson,"$2,750,000"
Genesis Cabrera,"$1,512,500"
Ryan Yarbrough,"$1,300,000"
Ernie Clement,"$1,003,505"
Davis Schneider,"$744,900"
Spencer Horwitz,"$695,281"
Bowden Francis,"$691,784"
Brendon Little,"$517,140"
Addison Barger,"$405,756"
Ryan Burr,"$369,954"
Leonardo Jimenez,"$350,064"
Steward Berroa,"$286,416"
Joey Loperfido,"$238,680"
Dillon Tate,"$225,820"
Luis De Los Santos,"$167,076"
Nathan Lukes,"$123,318"
Tyler Heineman,"$47,736"
Brandon Eisert,"$43,758"
Jonatan Clase,"$39,780"
Brett de Geus,"$15,912"
Nick Robertson,"$7,956"
Bo Bichette,"$11,000,000"
Jordan Romano,"$7,750,000"
Daulton Varsho,"$5,650,000"
Alek Manoah,"$782,500"
Will Wagner,"$190,944"
José Ramírez,"$17,000,000"
Josh Naylor,"$6,500,000"
Andres Gimenez,"$5,050,000"
Austin Hedges,"$4,000,000"
Emmanuel Clase,"$2,850,000"
Lane Thomas,"$1,816,662"
Steven Kwan,"$1,313,153"
Cade Smith,"$1,297,688"
Tanner Bibee,"$1,157,584"
Nick Sandlin,"$1,075,000"
Hunter Gaddis,"$1,032,035"
David Fry,"$981,856"
Will Brennan,"$776,970"
Ben Lively,"$750,000"
Bo Naylor,"$742,100"
Gavin Williams,"$742,100"
Tim Herrin,"$740,800"
Brayan Rocchio,"$740,200"
Daniel Schneemann,"$740,000"
Pedro Avila,"$658,296"
Eli Morgan,"$626,045"
Angel Martinez,"$381,888"
Jhonkensy Noel,"$377,910"
Matt Boyd,"$373,932"
Kyle Manzardo,"$282,438"
Erik Sabrowski,"$127,296"
Joey Cantillo,"$119,340"
Andrew Walters,"$67,626"
Shane Bieber,"$13,125,000"
Alex Cobb,"$3,333,333"
James Karinchak,"$1,900,000"
Trevor Stephan,"$1,600,000"
Sam Hentges,"$1,162,500"
Kenta Maeda,"$14,000,000"
Colt Keith,"$4,742,569"
Tarik Skubal,"$2,650,000"
Jake Rogers,"$1,700,000"
Riley Greene,"$1,284,146"
Matt Vierling,"$1,093,719"
Tyler Holton,"$1,080,995"
Kerry Carpenter,"$1,071,609"
Reese Olson,"$1,013,438"
Casey Mize,"$830,000"
Parker Meadows,"$782,818"
Jason Foley,"$766,300"
Andy Ibanez,"$766,100"
Zach McKinstry,"$764,400"
Will Vest,"$760,700"
Wenceel Perez,"$692,172"
Beau Brieske,"$552,942"
Spencer Torkelson,"$456,987"
Justyn-Henry Malloy,"$417,690"
Keider Montero,"$358,020"
Dillon Dingler,"$242,658"
Brenan Hanifee,"$234,702"
Brant Hurter,"$222,768"
Trey Sweeney,"$175,032"
Jace Jung,"$175,032"
Sean Guenther,"$163,098"
Ty Madden,"$135,252"
Jackson Jobe,"$19,890"
Javier Báez,"$25,000,000"
Alex Faedo,"$746,600"
Sawyer Gipson-Long,"$743,600"
Brendan White,"$186,966"
Salvador Perez,"$20,000,000"
Michael Wacha,"$16,450,000"
Seth Lugo,"$15,000,000"
Bobby Witt Jr.,"$12,855,372"
Hunter Renfroe,"$5,570,000"
Brady Singer,"$4,850,000"
Michael Lorenzen,"$2,800,028"
Cole Ragans,"$2,391,763"
Kris Bubic,"$2,350,000"
Garrett Hampson,"$2,000,000"
Adam Frazier,"$2,000,000"
Tommy Pham,"$1,367,741"
John Schreiber,"$1,175,000"
Carlos Hernandez,"$1,012,500"
Freddy Fermin,"$977,319"
Kyle Isbel,"$758,250"
Michael Massey,"$757,000"
MJ Melendez,"$754,750"
Maikel Garcia,"$751,250"
Lucas Erceg,"$750,000"
Dairon Blanco,"$743,750"
Paul DeJong,"$714,540"
Angel Zerpa,"$671,841"
Alec Marsh,"$620,620"
Sam Long,"$525,096"
Robbie Grossman,"$233,885"
Daniel Lynch,"$202,878"
Yulieski Gurriel,"$150,537"
Will Smith,"$5,625,000"
Chris Stratton,"$3,500,000"
Kyle Wright,"$1,800,000"
Josh Taylor,"$1,100,000"
Hunter Harvey,"$962,500"
Vinnie Pasquantino,"$752,750"
James McArthur,"$745,750"
Carlos Correa,"$36,100,000"
Byron Buxton,"$15,000,000"
Christian Vazquez,"$10,000,000"
Pablo López,"$9,000,000"
Kyle Farmer,"$6,250,000"
Carlos Santana,"$5,500,000"
Manuel Margot,"$4,000,000"
Willi Castro,"$3,300,000"
Caleb Thielbar,"$3,225,000"
Ryan Jeffers,"$2,425,000"
Randy Dobnak,"$2,250,000"
Justin Topa,"$1,250,000"
Bailey Ober,"$1,142,935"
Griffin Jax,"$1,114,602"
Jorge Alcala,"$790,000"
Cole Sands,"$749,450"
Jhoan Duran,"$747,200"
Royce Lewis,"$745,700"
Austin Martin,"$560,898"
Edouard Julien,"$481,800"
Brooks Lee,"$350,064"
David Festa,"$306,306"
Louie Varland,"$220,440"
Zebby Matthews,"$186,966"
Michael Tonkin,"$177,408"
Scott Blewett,"$159,120"
Michael Helman,"$51,714"
DaShawn Keirsey,"$43,758"
Max Kepler,"$10,000,000"
Anthony DeSclafani,"$4,000,000"
Chris Paddack,"$2,525,000"
Alex Kirilloff,"$1,350,000"
Joe Ryan,"$1,089,904"
Brock Stewart,"$900,000"
Daniel Duarte,"$750,000"
Jose Miranda,"$692,172"
Matt Wallner,"$673,128"
Trevor Larnach,"$660,348"
Yoan Moncada,"$24,000,000"
Andrew Benintendi,"$16,500,000"
Luis Robert Jr.,"$12,500,000"
Nicky Lopez,"$4,300,000"
Andrew Vaughn,"$3,250,000"
Michael Soroka,"$3,000,000"
Chris Flexen,"$1,750,000"
Garrett Crochet,"$800,000"
Gavin Sheets,"$756,950"
Korey Lee,"$745,000"
Jared Shuster,"$636,480"
Dominic Fletcher,"$595,106"
Justin Anderson,"$525,096"
Jonathan Cannon,"$501,228"
Lenyn Sosa,"$497,250"
Chuckie Robinson,"$411,730"
Enyel De Los Santos,"$268,191"
Davis Martin,"$254,592"
Miguel Vargas,"$246,636"
Fraser Ellard,"$242,658"
Bryan Ramos,"$206,856"
Jacob Amaya,"$171,054"
Gus Varland,"$171,054"
Zach DeLoach,"$163,098"
Prelander Berroa,"$159,120"
Jairo Iriarte,"$111,384"
Sean Burke,"$75,582"
Jake Eder,"$67,626"
Mike Clevinger,"$3,000,000"
Dominic Leone,"$1,500,000"
Jimmy Lambert,"$759,250"
Jesse Scholtens,"$745,000"
Max Stassi,"$740,000"
Steven Wilson,"$707,350"
Drew Thorpe,"$437,580"
Brooks Baldwin,"$286,416"
Matt Foster,"$108,864"
Jose Altuve,"$41,000,000"
Alex Bregman,"$28,500,000"
Justin Verlander,"$22,544,808"
Josh Hader,"$19,000,000"
Ryan Pressly,"$14,000,000"
Framber Valdez,"$12,100,000"
Kyle Tucker,"$12,000,000"
Yordan Alvarez,"$10,000,000"
Victor Caratini,"$6,000,000"
Mauricio Dubon,"$3,500,000"
Yusei Kikuchi,"$3,387,097"
Bryan Abreu,"$1,750,000"
Ronel Blanco,"$1,222,826"
Hunter Brown,"$1,191,342"
Jeremy Pena,"$1,107,020"
Jon Singleton,"$850,000"
Caleb Ferguson,"$800,000"
Yainer Diaz,"$768,900"
Jake Meyers,"$767,300"
Spencer Arrighetti,"$664,326"
Grae Kessinger,"$343,140"
Yainer Diaz,"$341,542"
Bryan King,"$338,130"
Kaleb Ort,"$266,526"
César Salazar,"$230,724"
Hector Neris,"$143,208"
Zach Dezenzo,"$131,274"
Jason Heyward,"$123,318"
Ryan Gusto,"$3,978"
Lance McCullers,"$17,000,000"
Kendall Graveman,"$8,000,000"
Cristian Javier,"$7,000,000"
José Urquidy,"$3,750,000"
Chas McCormick,"$2,850,000"
Luis Garcia,"$1,875,000"
Penn Murfee,"$760,000"
Tayler Scott,"$750,000"
Oliver Ortega,"$748,500"
Bennett Sousa,"$742,300"
J.P. France,"$288,890"
Ben Gamel,"$245,176"
Mitch Haniger,"$12,000,000"
Mitch Garver,"$11,500,000"
Julio Rodriguez,"$10,509,957"
Jorge Polanco,"$10,500,000"
J.P. Crawford,"$10,000,000"
Luis Urias,"$5,000,000"
Logan Gilbert,"$4,050,000"
Josh Rojas,"$3,100,000"
Dylan Moore,"$3,050,000"
Justin Turner,"$2,903,226"
Randy Arozarena,"$2,830,620"
Andres Munoz,"$2,000,000"
Cal Raleigh,"$1,508,720"
Austin Voth,"$1,400,000"
George Kirby,"$1,244,887"
Trent Thornton,"$1,200,000"
Bryan Woo,"$1,111,483"
Luke Raley,"$1,067,189"
Tayler Saucedo,"$753,100"
Gregory Santos,"$750,000"
Gabe Speier,"$571,050"
Eduard Bazardo,"$566,401"
Collin Snider,"$530,376"
Victor Robles,"$465,426"
J.T. Chargois,"$414,540"
Leonardo Rivas,"$381,888"
Emerson Hancock,"$223,160"
Troy Taylor,"$198,900"
Luis Castillo,"$22,750,000"
Yimi Garcia,"$2,096,770"
Bryce Miller,"$1,249,906"
Sam Haggerty,"$788,757"
Matt Brash,"$757,600"
Jackson Kowar,"$743,000"
Jacob deGrom,"$40,000,000"
Marcus Semien,"$26,000,000"
Nathan Eovaldi,"$19,000,000"
Andrew Heaney,"$13,000,000"
Nate Lowe,"$7,500,000"
Jose Leclerc,"$6,250,000"
David Robertson,"$5,000,000"
Adolis García,"$4,750,000"
Kirby Yates,"$4,500,000"
Dane Dunning,"$3,325,000"
Jonah Heim,"$3,050,000"
Leody Taveras,"$2,550,000"
Andrew Chafin,"$1,995,940"
Travis Jankowski,"$1,700,000"
Carson Kelly,"$1,166,654"
Wyatt Langford,"$1,108,844"
Josh H. Smith,"$1,082,675"
Josh Sborz,"$1,025,000"
Cody Bradford,"$748,500"
Ezequiel Duran,"$620,568"
Justin Foscue,"$489,294"
Gerson Garabito,"$250,614"
Jonathan Ornelas,"$238,680"
Matt Festa,"$194,922"
Daniel Robert,"$59,670"
Matt Duffy,"$26,881"
Dustin Harris,"$19,890"
Marc Church,"$7,956"
Corey Seager,"$34,500,000"
Jon Gray,"$13,000,000"
Max Scherzer,"$12,500,000"
Tyler Mahle,"$5,500,000"
José Ureña,"$1,500,000"
Josh Jung,"$756,000"
Evan Carter,"$745,000"
Carson Coleman,"$740,000"
Grant Anderson,"$365,001"
Cole Winn,"$159,120"
Ross Stripling,"$9,250,000"
Seth Brown,"$2,600,000"
Scott Alexander,"$2,400,000"
Mason Miller,"$1,565,276"
T.J. McFarland,"$1,500,000"
Brent Rooker,"$1,437,804"
J.J. Bleday,"$1,122,494"
Lawrence Butler,"$1,018,673"
Shea Langeliers,"$1,000,500"
JP Sears,"$745,000"
Kyle McCann,"$740,000"
Mitch Spence,"$740,000"
Zack Gelof,"$740,000"
Max Schuemann,"$680,238"
Tyler Nevin,"$640,458"
Kyle Muller,"$624,546"
Darell Hernaiz,"$624,546"
Tyler Soderstrom,"$572,832"
Joey Estes,"$560,898"
Daz Cameron,"$521,118"
Tyler Ferguson,"$425,646"
Joe Boyle,"$393,822"
Hogan Harris,"$389,844"
Michel Otanez,"$334,152"
Jacob Wilson,"$286,416"
Nick Allen,"$276,345"
Grant Holman,"$171,054"
J.T. Ginn,"$159,120"
Alex Wood,"$8,500,000"
Miguel Andujar,"$1,700,000"
Trevor Gott,"$1,500,000"
Austin Adams,"$1,300,000"
Ken Waldichuk,"$745,000"
Luis Medina,"$740,000"
Esteury Ruiz,"$688,860"
Osvaldo Bido,"$407,232"
Tyler Anderson,"$13,000,000"
Brandon Drury,"$8,500,000"
Taylor Ward,"$4,800,000"
Griffin Canning,"$2,600,000"
Zach Neto,"$1,192,551"
Logan O'Hoppe,"$1,023,114"
José Suarez,"$925,000"
Jose Quijada,"$840,000"
Kevin Pillar,"$811,776"
Hunter Strickland,"$795,180"
Matt Thaiss,"$770,000"
Mickey Moniak,"$770,000"
Nolan Schanuel,"$750,000"
Carson Fulmer,"$692,172"
Michael Stefanic,"$564,480"
Roansy Contreras,"$552,024"
Reid Detmers,"$393,300"
Guillo Zuniga,"$334,656"
Brock Burke,"$261,555"
Jack Kochanowicz,"$246,636"
Niko Kavadas,"$175,032"
Jack López,"$175,032"
Ryan Zeferjahn,"$147,186"
Ryan Miller,"$131,274"
Kenny Rosenberg,"$119,340"
Jordyn Adams,"$87,516"
Eric Wagaman,"$75,582"
Gustavo Campero,"$55,692"
Anthony Rendon,"$38,000,000"
Mike Trout,"$35,450,000"
Robert Stephenson,"$11,000,000"
Matt Moore,"$9,000,000"
Patrick Sandoval,"$5,025,000"
Luis Rengifo,"$4,400,000"
Jo Adell,"$770,000"
Jose Soriano,"$760,000"
Kelvin Cáceres,"$568,854"
Ben Joyce,"$477,360"
