Name,Salary
Andrew Wantz,"$365,976"
Jose Marte,"$358,020"
Samuel Aldegheri,"$119,340"
Bryce Teodosio,"$87,516"
Trea Turner,"$27,322,727"
Bryce Harper,"$26,100,000"
Aaron Nola,"$24,571,428"
J.T. Realmuto,"$23,875,000"
Zack Wheeler,"$23,500,000"
Nick Castellanos,"$20,000,000"
Kyle Schwarber,"$20,000,000"
Taijuan Walker,"$18,000,000"
Jose Alvarado,"$9,000,000"
Matt Strahm,"$7,550,000"
Ranger Suarez,"$5,050,000"
Alec Bohm,"$4,000,000"
Carlos Estevez,"$2,322,560"
Austin Hays,"$2,201,615"
Jeff Hoffman,"$2,200,000"
Edmundo Sosa,"$1,700,000"
Cristopher Sanchez,"$1,329,782"
Brandon Marsh,"$1,080,551"
Kolby Allard,"$1,025,000"
Bryson Stott,"$1,019,338"
Garrett Stubbs,"$850,000"
Jose Ruiz,"$801,075"
Orion Kerkering,"$742,500"
Johan Rojas,"$700,875"
Kody Clemens,"$385,866"
Weston Wilson,"$361,998"
Tanner Banks,"$243,540"
Buddy Kennedy,"$55,692"
Spencer Turnbull,"$2,200,000"
Luis Ortiz,"$744,000"
Rodolfo Castro,"$87,516"
Matt Olson,"$22,000,000"
Charlie Morton,"$20,000,000"
Marcell Ozuna,"$16,000,000"
Raisel Iglesias,"$16,000,000"
Max Fried,"$15,000,000"
Sean Murphy,"$9,000,000"
Travis d'Arnaud,"$8,000,000"
Joe Jimenez,"$8,000,000"
Pierce Johnson,"$7,000,000"
Ozzie Albies,"$7,000,000"
Aaron Bummer,"$5,500,000"
Michael Harris II,"$5,267,069"
Reynaldo López,"$4,000,000"
Adam Duvall,"$3,000,000"
Jorge Soler,"$2,295,674"
Luke Jackson,"$2,131,706"
Orlando Arcia,"$2,000,000"
Spencer Schwellenbach,"$859,085"
Jarred Kelenic,"$760,000"
Jesse Chavez,"$740,000"
Dylan Lee,"$719,136"
Ramon Laureano,"$421,668"
Grant Holmes,"$417,690"
Whit Merrifield,"$274,482"
Eli White,"$202,878"
Giovanny Urshela,"$163,098"
Daysbel Hernández,"$143,208"
Austin Riley,"$21,000,000"
Ronald Acuña Jr.,"$17,000,000"
A.J. Minter,"$6,220,000"
Spencer Strider,"$1,000,000"
Huascar Ynoa,"$825,000"
Angel Perdomo,"$740,000"
Ray Kerr,"$243,814"
Francisco Lindor,"$27,050,000"
Pete Alonso,"$20,500,000"
Brandon Nimmo,"$20,250,000"
Starling Marte,"$19,500,000"
Sean Manaea,"$14,500,000"
Luis Severino,"$14,250,000"
Jose Quintana,"$13,000,000"
Edwin Diaz,"$11,750,000"
Harrison Bader,"$10,500,000"
J.D. Martinez,"$4,500,000"
Adam Ottavino,"$4,500,000"
Phil Maton,"$2,755,364"
David Peterson,"$2,150,000"
Tyrone Taylor,"$2,025,000"
Jesse Winker,"$2,000,000"
Ryne Stanek,"$1,919,355"
Francisco Alvarez,"$1,007,677"
Mark Vientos,"$927,690"
Luis Torrens,"$787,097"
Reed Garrett,"$720,018"
Danny Young,"$564,876"
Tylor Megill,"$543,840"
Jose Butto,"$477,360"
Alex Young,"$461,538"
Huascar Brazoban,"$242,880"
Eddy Alvarez,"$79,560"
Luisangel Acuna,"$59,670"
Kodai Senga,"$14,000,000"
Jeff McNeil,"$10,250,000"
Brooks Raley,"$6,500,000"
Drew Smith,"$2,225,000"
Paul Blackburn,"$1,112,880"
Sean Reid-Foley,"$772,750"
Ronny Mauricio,"$743,500"
Dedniel Nunez,"$517,140"
Christian Scott,"$457,470"
Patrick Corbin,"$25,000,000"
Trevor Williams,"$7,000,000"
Keibert Ruiz,"$6,000,000"
Kyle Finnegan,"$5,100,000"
Joey Gallo,"$2,700,000"
Luis Garcia,"$1,950,000"
Derek Law,"$1,500,000"
Tanner Rainey,"$1,500,000"
Ildemaro Vargas,"$1,100,000"
MacKenzie Gore,"$1,049,617"
Jacob Young,"$1,041,323"
Jake Irvin,"$985,263"
José Ferrer,"$743,000"
Robert Garcia,"$742,800"
Nasim Nunez,"$740,000"
Mitchell Parker,"$664,326"
Jacob Barnes,"$655,080"
James Wood,"$358,020"
Juan Yepez,"$342,108"
Drew Millas,"$314,262"
Eduardo Salazar,"$298,350"
Trey Lipscomb,"$286,416"
José Tena,"$198,900"
Joe La Sorsa,"$171,054"
Stone Garrett,"$145,996"
Dylan Crews,"$135,252"
Darren Baker,"$111,384"
Jackson Rutledge,"$15,912"
Stephen Strasburg,"$23,571,428"
Josiah Gray,"$757,400"
Mason Thompson,"$749,200"
Cade Cavalli,"$740,200"
Alex Call,"$290,394"
Joan Adon,"$238,680"
Jesús Sánchez,"$2,100,000"
Otto Lopez,"$1,004,290"
Xavier Edwards,"$918,145"
Anthony Bender,"$770,000"
Edward Cabrera,"$761,000"
Jake Burger,"$760,000"
Nick Fortes,"$759,000"
Ryan Weathers,"$752,600"
Vidal Brujan,"$745,800"
Dane Myers,"$612,612"
Jonah Bride,"$391,104"
Valente Bellozo,"$258,570"
Kyle Stowers,"$242,658"
Jesus Tinoco,"$238,680"
Derek Hill,"$218,790"
Jhonny Pereda,"$198,900"
Connor Norby,"$163,098"
Adam Oller,"$163,098"
Mike Baumann,"$136,884"
Griffin Conine,"$135,252"
Xzavion Curry,"$128,064"
Anthony Maldonado,"$127,296"
Darren McCaughan,"$123,318"
Anthony Veneziano,"$99,450"
Lake Bachar,"$87,516"
Javier Sanoja,"$87,516"
Shaun Anderson,"$75,582"
Michael Petersen,"$67,626"
Sandy Alcantara,"$9,000,000"
Jesús Luzardo,"$5,500,000"
Braxton Garrett,"$764,000"
Andrew Nardi,"$754,000"
Eury Pérez,"$748,000"
Sixto Sanchez,"$742,000"
Calvin Faucher,"$681,408"
Declan Cronin,"$674,141"
Max Meyer,"$334,656"
John McMillon,"$202,878"
Willy Adames,"$12,250,000"
Rhys Hoskins,"$12,000,000"
Devin Williams,"$7,000,000"
Frankie Montas,"$5,831,935"
Freddy Peralta,"$5,500,000"
Jackson Chourio,"$4,901,335"
Colin Rea,"$4,000,000"
Gary Sánchez,"$3,000,000"
William Contreras,"$2,489,074"
Aaron Civale,"$2,318,272"
Hoby Milner,"$2,050,000"
Joe Ross,"$1,750,000"
Joel Payamps,"$1,650,000"
Jake Bauers,"$1,350,000"
Aaron Ashby,"$1,250,000"
Joey Ortiz,"$1,169,163"
Brice Turang,"$1,116,214"
Garrett Mitchell,"$999,800"
Sal Frelick,"$979,049"
Tobias Myers,"$893,199"
Blake Perkins,"$800,000"
Trevor Megill,"$756,600"
Andruw Monasterio,"$683,774"
D.L. Hall,"$668,167"
Jared Koenig,"$624,546"
Eric Haase,"$560,720"
Nick Mears,"$258,048"
Isaac Collins,"$83,538"
Christian Yelich,"$22,050,000"
Wade Miley,"$7,000,000"
Brandon Woodruff,"$2,500,000"
Bryse Wilson,"$1,000,000"
J.B. Bukauskas,"$712,062"
Robert Gasser,"$564,876"
Rob Zastryzny,"$365,976"
Oliver Dunn,"$290,394"
Cody Bellinger,"$27,500,000"
Dansby Swanson,"$25,000,000"
Ian Happ,"$20,000,000"
Seiya Suzuki,"$20,000,000"
Jameson Taillon,"$18,000,000"
Kyle Hendricks,"$16,500,000"
Nico Hoerner,"$11,500,000"
Drew Smyly,"$10,500,000"
Shota Imanaga,"$10,000,000"
Justin Steele,"$4,000,000"
Patrick Wisdom,"$2,725,000"
Mike Tauchman,"$1,950,000"
Isaac Paredes,"$1,169,892"
Michael Busch,"$1,067,223"
Pete Crow-Armstrong,"$930,872"
Javier Assad,"$755,000"
Miguel Amaya,"$746,500"
Hayden Wesneski,"$636,480"
Tyson Miller,"$548,964"
Keegan Thompson,"$533,052"
Caleb Kilian,"$525,492"
Porter Hodge,"$489,294"
Ethan Roberts,"$343,862"
Nate Pearson,"$275,264"
Christian Bethancourt,"$258,570"
Luis Vazquez,"$232,052"
Enoli Paredes,"$19,890"
Kevin Alcantara,"$15,912"
Adbert Alzolay,"$2,110,000"
Yency Almonte,"$1,900,000"
Nick Madrigal,"$1,810,000"
Julian Merryweather,"$1,175,000"
Jordan Wicks,"$741,500"
Ben Brown,"$732,043"
Colten Brewer,"$656,370"
Luke Little,"$648,903"
Jorge López,"$369,954"
Brennen Davis,"$63,648"
Paul Goldschmidt,"$26,000,000"
Nolan Arenado,"$24,000,000"
Miles Mikolas,"$16,000,000"
Kyle Gibson,"$12,000,000"
Steven Matz,"$12,000,000"
Ryan Helsley,"$3,800,000"
Andrew Kittredge,"$2,630,000"
Erick Fedde,"$2,500,026"
Masyn Winn,"$1,202,146"
Brendan Donovan,"$1,181,922"
Andre Pallante,"$874,908"
Iván Herrera,"$855,704"
Lars Nootbaar,"$761,000"
Alec Burleson,"$750,050"
Matthew Liberatore,"$747,200"
Mike Siani,"$741,650"
Matt Carpenter,"$740,000"
Ryan Fernandez,"$740,000"
Riley O'Brien,"$676,770"
Pedro Pages,"$656,370"
Kyle Leahy,"$429,624"
Jose Fermin,"$377,910"
Jordan Walker,"$265,254"
Chris Roycroft,"$262,548"
Luken Baker,"$159,120"
Thomas Saggese,"$75,582"
Michael McGreevy,"$47,736"
Willson Contreras,"$18,000,000"
Lance Lynn,"$10,000,000"
Sonny Gray,"$10,000,000"
Keynan Middleton,"$5,000,000"
JoJo Romero,"$860,000"
Drew Rom,"$742,200"
Nick Martinez,"$14,000,000"
Emilio Pagan,"$8,000,000"
Jonathan India,"$3,800,000"
Hunter Greene,"$3,529,910"
Luke Maile,"$3,000,000"
Santiago Espinal,"$2,725,000"
Buck Farmer,"$2,550,000"
Tyler Stephenson,"$2,525,000"
Brent Suter,"$2,500,000"
Jake Fraley,"$2,150,000"
Elly De La Cruz,"$1,603,210"
Justin Wilson,"$1,500,000"
Jake Junis,"$1,311,805"
Ty France,"$1,000,000"
Ian Gibaut,"$760,000"
Alexis Diaz,"$760,000"
Fernando Cruz,"$750,000"
Will Benson,"$750,000"
Spencer Steer,"$750,000"
T.J. Friedl,"$750,000"
Carson Spiers,"$552,942"
Amed Rosario,"$500,030"
Noelvi Marte,"$373,932"
Tony Santillan,"$310,284"
Rece Hinds,"$202,878"
Blake Dunn,"$179,010"
Rhett Lowder,"$119,340"
Yosver Zulueta,"$115,362"
Jeimer Candelario,"$15,000,000"
Austin Wynns,"$914,332"
Tejay Antone,"$830,000"
Nick Lodolo,"$760,000"
Stuart Fairchild,"$750,000"
Brandon Williamson,"$742,500"
Matt McLain,"$742,500"
Andrew Abbott,"$742,500"
Christian Encarnacion-Strand,"$740,000"
Sam Moll,"$723,222"
Christian Roa,"$163,098"
Julian Aguiar,"$163,098"
Aroldis Chapman,"$10,500,000"
Bryan Reynolds,"$10,050,000"
Mitch Keller,"$7,500,000"
Andrew McCutchen,"$5,000,000"
David Bednar,"$4,510,000"
Paul Skenes,"$2,712,955"
Yasmani Grandal,"$2,500,000"
Connor Joe,"$2,125,000"
Ryan Borucki,"$1,600,000"
Oneil Cruz,"$1,238,928"
Luis Ortiz,"$993,813"
Bailey Falter,"$755,000"
Colin Holderman,"$755,000"
Jared Triolo,"$745,000"
Nick Yorke,"$740,000"
Joey Bart,"$712,062"
Carmen Mlodzinski,"$606,869"
Nick Gonzales,"$564,876"
Jalen Beeks,"$549,305"
Dennis Santana,"$429,624"
Isiah Kiner-Falefa,"$250,000"
Bryan De La Cruz,"$247,740"
Joshua Palacios,"$202,878"
Joey Wentz,"$96,360"
Billy Cook,"$83,538"
Isaac Mattson,"$39,780"
Liover Peguero,"$31,824"
Michael Burrows,"$7,956"
Ke'Bryan Hayes,"$7,000,000"
Marco Gonzales,"$3,000,000"
Johan Oviedo,"$765,000"
Dauri Moreta,"$755,000"
Endy Rodriguez,"$745,000"
Hunter Stratton,"$704,880"
Kyle Nicolas,"$620,568"
Daulton Jefferies,"$417,690"
Henry Davis,"$285,349"
Ben Heller,"$230,724"
Yoshinobu Yamamoto,"$55,000,000"
Will Smith,"$38,550,000"
Teoscar Hernandez,"$24,500,000"
Mookie Betts,"$22,000,000"
Freddie Freeman,"$20,000,000"
Chris Taylor,"$13,000,000"
Max Muncy,"$12,000,000"
Walker Buehler,"$8,025,000"
Joe Kelly,"$8,000,000"
Jack Flaherty,"$5,166,666"
Miguel Rojas,"$5,000,000"
Ryan Brasier,"$4,500,000"
Enrique Hernandez,"$4,000,000"
Evan Phillips,"$4,000,000"
Austin Barnes,"$3,500,000"
Tommy Edman,"$2,470,968"
Daniel Hudson,"$2,000,000"
Shohei Ohtani,"$2,000,000"
Kevin Kiermaier,"$1,840,000"
Gavin Lux,"$1,225,000"
Michael Kopech,"$1,016,129"
Blake Treinen,"$1,000,000"
Alex Vesia,"$1,000,000"
Andy Pages,"$608,634"
Anthony Banda,"$529,074"
James Outman,"$335,340"
Landon Knack,"$294,372"
Edgardo Henriquez,"$19,890"
Tyler Glasnow,"$25,000,000"
Clayton Kershaw,"$7,500,000"
Tony Gonsolin,"$5,400,000"
Brusdar Graterol,"$2,700,000"
Dustin May,"$2,135,000"
Gavin Stone,"$1,092,522"
Emmet Sheehan,"$750,000"
Connor Brogdon,"$711,834"
River Ryan,"$274,482"
Brent Honeywell,"$235,200"
Xander Bogaerts,"$25,000,000"
Joe Musgrove,"$20,000,000"
Yu Darvish,"$15,000,000"
Manny Machado,"$13,000,000"
Robert Suarez,"$13,000,000"
Fernando Tatis Jr.,"$11,000,000"
Jake Cronenworth,"$9,000,000"
Dylan Cease,"$8,000,000"
Wandy Peralta,"$3,350,000"
Yuki Matsui,"$3,250,000"
Michael King,"$3,150,000"
Jurickson Profar,"$2,500,000"
Kyle Higashioka,"$2,180,000"
Jackson Merrill,"$1,931,534"
Tanner Scott,"$1,838,700"
Martín Pérez,"$1,333,333"
Adrian Morejon,"$850,000"
Tyler Wade,"$850,000"
Donovan Solano,"$790,322"
David Peralta,"$698,924"
Jeremiah Estrada,"$620,568"
Matt Waldron,"$594,212"
Luis Arraez,"$592,796"
Bryan Hoeing,"$250,170"
Elias Diaz,"$150,537"
Brandon Lockridge,"$71,604"
Nick Ahmed,"$37,632"
Ha-seong Kim,"$7,000,000"
Luis Patino,"$749,400"
Stephen Kolek,"$740,000"
Jhony Brito,"$389,844"
Mason McCoy,"$155,142"
Jordan Montgomery,"$25,000,000"
Eduardo Rodriguez,"$14,000,000"
Ketel Marte,"$13,000,000"
Eugenio Suarez,"$11,000,000"
Christian Walker,"$10,900,000"
Zac Gallen,"$10,011,000"
Lourdes Gurriel Jr.,"$10,000,000"
Joc Pederson,"$9,500,000"
Merrill Kelly,"$8,000,000"
Corbin Carroll,"$3,535,533"
Scott McGough,"$3,000,000"
Josh Bell,"$2,250,000"
Randal Grichuk,"$1,500,000"
Ryan Thompson,"$1,350,000"
Kevin Ginkel,"$1,225,000"
Jake McCarthy,"$1,180,638"
Gabriel Moreno,"$1,113,259"
Geraldo Perdomo,"$1,063,498"
Ryne Nelson,"$1,038,861"
Brandon Pfaadt,"$1,026,183"
Kevin Newman,"$946,237"
Joe Mantiply,"$925,000"
Justin Martinez,"$754,050"
A.J. Puk,"$638,710"
Alek Thomas,"$591,591"
Pavin Smith,"$516,096"
Jose Herrera,"$397,800"
Brandon Hughes,"$167,076"
Paul Sewald,"$7,350,000"
Kyle Nelson,"$757,300"
Drey Jameson,"$749,700"
Bryce Jarvis,"$743,600"
Blake Snell,"$32,000,000"
Michael Conforto,"$18,000,000"
Matt Chapman,"$18,000,000"
Taylor Rogers,"$12,000,000"
Logan Webb,"$8,000,000"
Mike Yastrzemski,"$7,900,000"
LaMonte Wade Jr.,"$3,500,000"
Tyler Rogers,"$3,200,000"
Patrick Bailey,"$1,218,542"
Ryan Walker,"$1,129,815"
Tyler Fitzgerald,"$1,047,813"
Curt Casali,"$1,000,000"
Heliot Ramos,"$887,540"
Tristan Beck,"$747,500"
Sean Hjelle,"$743,750"
Erik Miller,"$740,000"
Camilo Doval,"$707,940"
Randy Rodriguez,"$580,788"
Austin Warren,"$523,611"
Brett Wisely,"$517,140"
Hayden Birdsong,"$326,196"
Spencer Bivens,"$298,350"
Casey Schmitt,"$286,416"
Luis Matos,"$278,460"
Jerar Encarnacion,"$230,724"
Grant McCray,"$182,988"
Donnie Walton,"$63,648"
Trevor McDonald,"$3,978"
Robbie Ray,"$23,000,000"
Jung-hoo Lee,"$12,000,000"
Jordan Hicks,"$8,083,333"
Wilmer Flores,"$6,500,000"
Tom Murphy,"$4,000,000"
Mark Canha,"$3,709,680"
Keaton Winn,"$743,750"
Kyle Harrison,"$743,750"
Kyle Freeland,"$15,000,000"
Charlie Blackmon,"$14,500,000"
Antonio Senzatela,"$12,000,000"
Ryan McMahon,"$12,000,000"
Cal Quantrill,"$6,550,000"
Ezequiel Tovar,"$3,485,706"
Brendan Rodgers,"$3,200,000"
Austin Gomber,"$3,150,000"
Jacob Stallings,"$1,500,000"
Brenton Doyle,"$1,226,750"
Jake Cave,"$1,000,000"
Ryan Feltner,"$986,935"
Sam Hilliard,"$800,000"
Nolan Jones,"$745,000"
Justin Lawrence,"$745,000"
Victor Vodnik,"$742,000"
Anthony Molina,"$740,000"
Michael Toglia,"$574,416"
Jordan Beck,"$572,832"
Hunter Goodman,"$572,832"
Jake Bird,"$568,710"
Aaron Schunk,"$369,954"
Angel Chivilli,"$310,284"
Drew Romo,"$175,032"
Jeff Criswell,"$155,142"
Luis Peralta,"$147,186"
Seth Halvorsen,"$119,340"
Jaden Hill,"$95,472"
Kris Bryant,"$27,000,000"
Germán Márquez,"$10,000,000"
Daniel Bard,"$9,500,000"
Dakota Hudson,"$1,500,000"
Tyler Kinley,"$1,300,000"
Lucas Gilbreath,"$760,000"
