Name,OBP+,SLG+,wRC+,Salary
Zach McKinstry,106.0,108.0,114.0,764400
Steven Kwan,106.0,92.0,99.0,1313153
Luis Arraez,103.0,97.0,104.0,592796
Lenyn Sosa,94.0,107.0,100.0,497250
J.P. Crawford,112.0,91.0,113.0,10000000
Bryan Reynolds,100.0,100.0,99.0,10050000
Xavier Edwards,108.0,88.0,95.0,918145
Luis Rengifo,92.0,83.0,73.0,4400000
Zach Neto,102.0,117.0,116.0,1192551
Gavin Lux,110.0,93.0,102.0,1225000
James Wood,110.0,118.0,127.0,358020
Brandon Lowe,98.0,118.0,114.0,8750000
Carlos Correa,106.0,99.0,106.0,36100000
Ernie Clement,100.0,98.0,98.0,1003505
Nolan Schanuel,113.0,96.0,109.0,750000
Mike Trout,115.0,108.0,120.0,35450000
Geraldo Perdomo,123.0,115.0,138.0,1063498
Paul Goldschmidt,105.0,99.0,103.0,26000000
Bo Bichette,114.0,119.0,134.0,11000000
Brent Rooker,107.0,118.0,122.0,1437804
Freddie Freeman,116.0,125.0,139.0,20000000
Nick Castellanos,93.0,100.0,90.0,20000000
Dansby Swanson,94.0,104.0,99.0,25000000
Andy Pages,99.0,115.0,113.0,608634
Kyle Manzardo,100.0,112.0,113.0,282438
Josh Jung,94.0,96.0,91.0,756000
Ian Happ,108.0,104.0,116.0,20000000
George Springer,127.0,138.0,166.0,22500000
Brice Turang,113.0,108.0,124.0,1116214
Francisco Lindor,109.0,116.0,129.0,27050000
Wyatt Langford,110.0,106.0,118.0,1108844
Michael Busch,108.0,130.0,140.0,1067223
Seiya Suzuki,103.0,119.0,123.0,20000000
Vladimir Guerrero Jr.,122.0,115.0,137.0,19900000
Alec Bohm,104.0,102.0,105.0,4000000
Lawrence Butler,98.0,100.0,96.0,1018673
Gleyber Torres,114.0,95.0,113.0,14200000
Ryan O'Hearn,116.0,108.0,127.0,3500000
Masyn Winn,98.0,90.0,91.0,1202146
J.T. Realmuto,99.0,96.0,94.0,23875000
Xander Bogaerts,104.0,97.0,104.0,25000000
Kyle Tucker,119.0,115.0,136.0,12000000
Gunnar Henderson,111.0,108.0,120.0,2763378
Mookie Betts,103.0,101.0,104.0,22000000
Gavin Sheets,100.0,107.0,111.0,756950
Spencer Torkelson,106.0,113.0,118.0,456987
Andrew McCutchen,105.0,91.0,95.0,5000000
Willy Adames,100.0,105.0,108.0,12250000
Brendan Donovan,111.0,105.0,119.0,1181922
Riley Greene,100.0,122.0,121.0,1284146
Willson Contreras,108.0,111.0,124.0,18000000
José Ramírez,115.0,124.0,133.0,17000000
Marcus Semien,97.0,90.0,89.0,26000000
Bobby Witt Jr.,112.0,123.0,130.0,12855372
Matt Olson,115.0,120.0,136.0,22000000
Jordan Beck,100.0,103.0,90.0,572832
Eric Wagaman,93.0,94.0,85.0,75582
Cody Bellinger,107.0,118.0,125.0,27500000
Nico Hoerner,109.0,98.0,109.0,11500000
Tyler Soderstrom,111.0,117.0,125.0,572832
Mike Yastrzemski,105.0,100.0,106.0,7900000
Sal Frelick,111.0,101.0,114.0,979049
Spencer Steer,98.0,102.0,97.0,750000
Pete Alonso,109.0,130.0,141.0,20500000
Jacob Wilson,113.0,110.0,121.0,286416
Trevor Larnach,103.0,100.0,102.0,660348
Aaron Judge,146.0,170.0,204.0,40000000
Shea Langeliers,104.0,132.0,132.0,1000500
Jake Cronenworth,116.0,94.0,117.0,9000000
Corbin Carroll,108.0,134.0,139.0,3535533
William Contreras,112.0,99.0,113.0,2489074
Trent Grisham,111.0,114.0,129.0,5500000
Ozzie Albies,96.0,91.0,87.0,7000000
Jarren Duran,106.0,109.0,111.0,2081661
Ben Rice,108.0,123.0,133.0,302328
Christian Walker,95.0,104.0,99.0,10900000
Marcell Ozuna,112.0,100.0,114.0,16000000
Salvador Perez,91.0,110.0,95.0,20000000
Maikel Garcia,112.0,111.0,121.0,751250
Ryan McMahon,99.0,95.0,86.0,12000000
Trea Turner,112.0,114.0,125.0,27322727
Christian Yelich,108.0,112.0,121.0,22050000
Trevor Story,98.0,107.0,101.0,22500000
Vinnie Pasquantino,103.0,117.0,116.0,752750
Miguel Vargas,101.0,99.0,101.0,246636
Yainer Diaz,91.0,103.0,92.0,768900
Yainer Diaz,91.0,103.0,92.0,341542
Bryson Stott,103.0,97.0,100.0,1019338
Pete Crow-Armstrong,90.0,120.0,109.0,930872
Jorge Polanco,104.0,122.0,132.0,10500000
Alejandro Kirk,111.0,104.0,116.0,2800000
Hunter Goodman,102.0,129.0,118.0,572832
Lourdes Gurriel Jr.,93.0,104.0,95.0,10000000
Jose Altuve,105.0,109.0,113.0,41000000
Manny Machado,106.0,114.0,123.0,13000000
Addison Barger,96.0,112.0,107.0,405756
Ke'Bryan Hayes,91.0,76.0,65.0,7000000
Alec Burleson,108.0,114.0,124.0,750050
Jackson Holliday,100.0,93.0,96.0,310284
Jo Adell,94.0,120.0,112.0,770000
Bryce Harper,113.0,121.0,131.0,26100000
Jackson Chourio,97.0,115.0,111.0,4901335
Heliot Ramos,103.0,99.0,106.0,887540
Taylor Ward,101.0,117.0,117.0,4800000
Kyle Schwarber,115.0,140.0,152.0,20000000
Michael Harris II,85.0,102.0,83.0,5267069
Ketel Marte,118.0,129.0,145.0,13000000
Brooks Lee,91.0,91.0,81.0,350064
Otto Lopez,96.0,91.0,86.0,1004290
Cal Raleigh,115.0,145.0,161.0,1508720
Ceddanne Rafaela,94.0,102.0,91.0,3000000
Elly De La Cruz,106.0,110.0,109.0,1603210
Rafael Devers,118.0,119.0,135.0,25000000
Lars Nootbaar,102.0,90.0,96.0,761000
Randy Arozarena,107.0,105.0,120.0,2830620
Adolis García,86.0,97.0,83.0,4750000
Brandon Nimmo,102.0,108.0,114.0,20250000
Brenton Doyle,86.0,94.0,65.0,1226750
Jonathan India,103.0,85.0,89.0,3800000
Matt Chapman,107.0,107.0,118.0,18000000
Fernando Tatis Jr.,116.0,111.0,131.0,11000000
Matt McLain,94.0,85.0,77.0,742500
Josh Naylor,112.0,115.0,128.0,6500000
Joey Ortiz,87.0,79.0,67.0,1169163
Shohei Ohtani,123.0,155.0,172.0,2000000
Byron Buxton,104.0,136.0,136.0,15000000
Juan Soto,125.0,131.0,156.0,31000000
Josh Bell,102.0,104.0,107.0,2250000
Junior Caminero,99.0,132.0,129.0,186966
Anthony Volpe,87.0,97.0,83.0,1228964
Oneil Cruz,94.0,94.0,86.0,1238928
Zach McKinstry,106.0,108.0,114.0,764400
Steven Kwan,106.0,92.0,99.0,1313153
Luis Arraez,103.0,97.0,104.0,592796
Lenyn Sosa,94.0,107.0,100.0,497250
J.P. Crawford,112.0,91.0,113.0,10000000
Bryan Reynolds,100.0,100.0,99.0,10050000
Xavier Edwards,108.0,88.0,95.0,918145
Luis Rengifo,92.0,83.0,73.0,4400000
Zach Neto,102.0,117.0,116.0,1192551
Gavin Lux,110.0,93.0,102.0,1225000
James Wood,110.0,118.0,127.0,358020
Brandon Lowe,98.0,118.0,114.0,8750000
Carlos Correa,106.0,99.0,106.0,36100000
Ernie Clement,100.0,98.0,98.0,1003505
Nolan Schanuel,113.0,96.0,109.0,750000
Mike Trout,115.0,108.0,120.0,35450000
Geraldo Perdomo,123.0,115.0,138.0,1063498
Paul Goldschmidt,105.0,99.0,103.0,26000000
Bo Bichette,114.0,119.0,134.0,11000000
Brent Rooker,107.0,118.0,122.0,1437804
Freddie Freeman,116.0,125.0,139.0,20000000
Nick Castellanos,93.0,100.0,90.0,20000000
Dansby Swanson,94.0,104.0,99.0,25000000
Andy Pages,99.0,115.0,113.0,608634
Kyle Manzardo,100.0,112.0,113.0,282438
Josh Jung,94.0,96.0,91.0,756000
Ian Happ,108.0,104.0,116.0,20000000
George Springer,127.0,138.0,166.0,22500000
Brice Turang,113.0,108.0,124.0,1116214
Francisco Lindor,109.0,116.0,129.0,27050000
Wyatt Langford,110.0,106.0,118.0,1108844
Michael Busch,108.0,130.0,140.0,1067223
Seiya Suzuki,103.0,119.0,123.0,20000000
Vladimir Guerrero Jr.,122.0,115.0,137.0,19900000
Alec Bohm,104.0,102.0,105.0,4000000
Lawrence Butler,98.0,100.0,96.0,1018673
Gleyber Torres,114.0,95.0,113.0,14200000
Ryan O'Hearn,116.0,108.0,127.0,3500000
Masyn Winn,98.0,90.0,91.0,1202146
J.T. Realmuto,99.0,96.0,94.0,23875000
Xander Bogaerts,104.0,97.0,104.0,25000000
Kyle Tucker,119.0,115.0,136.0,12000000
Gunnar Henderson,111.0,108.0,120.0,2763378
Mookie Betts,103.0,101.0,104.0,22000000
Gavin Sheets,100.0,107.0,111.0,756950
Spencer Torkelson,106.0,113.0,118.0,456987
Andrew McCutchen,105.0,91.0,95.0,5000000
Willy Adames,100.0,105.0,108.0,12250000
Brendan Donovan,111.0,105.0,119.0,1181922
Riley Greene,100.0,122.0,121.0,1284146
Willson Contreras,108.0,111.0,124.0,18000000
José Ramírez,115.0,124.0,133.0,17000000
Marcus Semien,97.0,90.0,89.0,26000000
Bobby Witt Jr.,112.0,123.0,130.0,12855372
Matt Olson,115.0,120.0,136.0,22000000
Jordan Beck,100.0,103.0,90.0,572832
Eric Wagaman,93.0,94.0,85.0,75582
Cody Bellinger,107.0,118.0,125.0,27500000
Nico Hoerner,109.0,98.0,109.0,11500000
Tyler Soderstrom,111.0,117.0,125.0,572832
Mike Yastrzemski,105.0,100.0,106.0,7900000
Sal Frelick,111.0,101.0,114.0,979049
Spencer Steer,98.0,102.0,97.0,750000
Pete Alonso,109.0,130.0,141.0,20500000
Jacob Wilson,113.0,110.0,121.0,286416
Trevor Larnach,103.0,100.0,102.0,660348
Aaron Judge,146.0,170.0,204.0,40000000
Shea Langeliers,104.0,132.0,132.0,1000500
Jake Cronenworth,116.0,94.0,117.0,9000000
Corbin Carroll,108.0,134.0,139.0,3535533
William Contreras,112.0,99.0,113.0,2489074
Trent Grisham,111.0,114.0,129.0,5500000
Ozzie Albies,96.0,91.0,87.0,7000000
Jarren Duran,106.0,109.0,111.0,2081661
Ben Rice,108.0,123.0,133.0,302328
Christian Walker,95.0,104.0,99.0,10900000
Marcell Ozuna,112.0,100.0,114.0,16000000
Salvador Perez,91.0,110.0,95.0,20000000
Maikel Garcia,112.0,111.0,121.0,751250
Ryan McMahon,99.0,95.0,86.0,12000000
Trea Turner,112.0,114.0,125.0,27322727
Christian Yelich,108.0,112.0,121.0,22050000
Trevor Story,98.0,107.0,101.0,22500000
Vinnie Pasquantino,103.0,117.0,116.0,752750
Miguel Vargas,101.0,99.0,101.0,246636
Yainer Diaz,91.0,103.0,92.0,768900
Yainer Diaz,91.0,103.0,92.0,341542
Bryson Stott,103.0,97.0,100.0,1019338
Pete Crow-Armstrong,90.0,120.0,109.0,930872
Jorge Polanco,104.0,122.0,132.0,10500000
Alejandro Kirk,111.0,104.0,116.0,2800000
Hunter Goodman,102.0,129.0,118.0,572832
Lourdes Gurriel Jr.,93.0,104.0,95.0,10000000
Jose Altuve,105.0,109.0,113.0,41000000
Manny Machado,106.0,114.0,123.0,13000000
Addison Barger,96.0,112.0,107.0,405756
Ke'Bryan Hayes,91.0,76.0,65.0,7000000
Alec Burleson,108.0,114.0,124.0,750050
Jackson Holliday,100.0,93.0,96.0,310284
Jo Adell,94.0,120.0,112.0,770000
Bryce Harper,113.0,121.0,131.0,26100000
Jackson Chourio,97.0,115.0,111.0,4901335
Heliot Ramos,103.0,99.0,106.0,887540
Taylor Ward,101.0,117.0,117.0,4800000
Kyle Schwarber,115.0,140.0,152.0,20000000
Michael Harris II,85.0,102.0,83.0,5267069
Ketel Marte,118.0,129.0,145.0,13000000
Brooks Lee,91.0,91.0,81.0,350064
Otto Lopez,96.0,91.0,86.0,1004290
Cal Raleigh,115.0,145.0,161.0,1508720
Ceddanne Rafaela,94.0,102.0,91.0,3000000
Elly De La Cruz,106.0,110.0,109.0,1603210
Rafael Devers,118.0,119.0,135.0,25000000
Lars Nootbaar,102.0,90.0,96.0,761000
Randy Arozarena,107.0,105.0,120.0,2830620
Adolis García,86.0,97.0,83.0,4750000
Brandon Nimmo,102.0,108.0,114.0,20250000
Brenton Doyle,86.0,94.0,65.0,1226750
Jonathan India,103.0,85.0,89.0,3800000
Matt Chapman,107.0,107.0,118.0,18000000
Fernando Tatis Jr.,116.0,111.0,131.0,11000000
Matt McLain,94.0,85.0,77.0,742500
Josh Naylor,112.0,115.0,128.0,6500000
Joey Ortiz,87.0,79.0,67.0,1169163
Shohei Ohtani,123.0,155.0,172.0,2000000
Byron Buxton,104.0,136.0,136.0,15000000
Juan Soto,125.0,131.0,156.0,31000000
Josh Bell,102.0,104.0,107.0,2250000
Junior Caminero,99.0,132.0,129.0,186966
Anthony Volpe,87.0,97.0,83.0,1228964
Oneil Cruz,94.0,94.0,86.0,1238928
